question,answer,intent
아 제가 잘 몰라서 카는데 초등학교 일학년 되는 애들은 그거 시키면 몇 명이 먹어요?,거의 네 명 정도 먹을 수 있다고 보시면 돼요,양에대한질문
4인 가족이 먹으려면 뭐 어떻게 시켜야 돼요?,라지로 여덟 조각 나가긴 나가는데 좀 작은 여덟 조각이에요,양에대한질문
4인 가족이 먹으려면 라지 한 판으로 가능할까요?,성인 같으면 네 명 먹기는 좀 모자랄 겁니다,양에대한질문
그러면 4인 가족이 먹으려고 하는데 사이즈는 어느 정도로 주문을 해야 되나요?,라지 하시면 되세요,양에대한질문
벌집 피자는 몇 명 정도 먹을 수 있어요?,한두 세명 정도요,양에대한질문
라지 한 판에 몇 명 정도 먹을 수 있어요?,보통 라지 사이즈는 여덟 조각 나오거든요. 사람마다 드시는 양이 다르다 보니까,양에대한질문
아 그러면 가격대가 한 4인 가족이 먹으려면 어떤 걸 시켜야 돼요?,찜닭 아니면 튀김닭 하면 됩니다,양에대한질문
4인이 먹으려고 하는데 한 몇 마리 시키면 돼요?,한 세트 하면 돼요,양에대한질문
"그게 기준이 2, 3인분인가요?","순살 같은 경우에는 2, 3인분 하고 뼈 닭 같은 경우에는 3, 4인분 두 마리에요",양에대한질문
그럼 몇 명이 먹을 수 있어요?,그게 두 마리예요,양에대한질문
아 그러면 3인 가족이 먹으려고 하면 얼마나 시켜야 하나요?,한 마리 먹어야 합니다 2만 천 원입니다,양에대한질문
그러면 저 4인 가족이 먹으려고 하면 어떤 걸 시키면 되나요?,한 마리 시키면 돼요,양에대한질문
그거는 몇 인분이에요?,주로 술안주로 드시기 때문에 네 명 정도 드실 수 있어요,양에대한질문
아 그거 시키고 다른 거 또 시켜야 돼요?,예예,양에대한질문
그러면 탕수육이 4인 가족이 먹을 수 있나요 세트 메뉴로 시키면?,탕수육 보통이 17000원인데 그거 시키는 게 나을 거 같아요,양에대한질문
4인이 먹을 수 있을까요?,네 명 드시기엔 세트가 양이 적어요 네 명 드시려면 탕수육 중자는 가야죠,양에대한질문
엘지 멤버십 할인되나요?,죄송한데 저희는 그런 거 안돼요,엘지멤버십할인문의
지금 영업하고 계시나요?,네 영업 중입니다,영업시간문의
몇 시에서 몇 시까지 영업을 하시는데 예?,보통 문 여는 시간 12시에서 12시 반이고 저녁시간은 10시까지 합니다,영업시간문의
영업은 몇 시부터 하시는데 예?,11시부터 저녁 10시까지 해요,영업시간문의
배달은 몇 시까지 돼요?,원래 12시까지 하는데 오늘은 9시까지요,영업시간문의
배달은 몇 시까지 되나요?,열시 반까지 됩니다,영업시간문의
네 수고하십니다 죄송하지만 배달을 몇 시부터 몇 시까지 하시나요?,저희들이 오전에는 열한시부터 고요 저녁에 마감은 한신데 보통 한 12시 한 40분 정도 되면 끝나요,영업시간문의
네 수고하십니다 저 죄송하지만 배달 몇 시부터 몇 시까지 하나요?,우리 열두시부터 열한시까지 해요,영업시간문의
죄송하지만 영업은 몇 시부터 몇 시까지 하세요?,열시까집니다 아침 열한시부터 밤 열시까지,영업시간문의
네 수고하십니다 뭐 여쭤볼 게 있는데요 배달이 몇 시부터 몇 시까지인가요?,저희 열한시 반부터 열한시까진데요,영업시간문의
그러면 배달을 몇 시부터 몇 시까지?,배달은 열한 시부터 해요,영업시간문의
혹시 그럼 내일 주문을 미리 예약할 수 있나요?,죄송합니다만 당일 예약만 가능합니다,예약배달문의
배달시키려 하는데 바로 배달말고 예약 배달 가능한가요?,네 몇 시까지라고 말씀해주시면 가능하세요,예약배달문의
그 면 점심때 들어가려면 그 전날 전화드려야 되겠다 그러지 예?,네 예약해놓으면 그 시간에 맞춰서 보내드리죠,예약배달문의
제가 지금 결제해놓으면 이따가 배달해주실 수 있죠?,네,예약배달문의
"일곱, 여덟, 아홉 판 정도 주문하려면 언제쯤 전화드리면 되지 예?",한 40분 정도 전에 전화하시면 돼요,예약주문문의
아 혹시 이곳 개점시간이 언젠가요?,오전 10시입니다,오픈시간문의
몇 시부터 해요?,오전 열한 시부터입니다,오픈시간문의
오픈은 몇 시에 해요?,열두 시에요,오픈시간문의
몇 시에 오픈하세요?,열한 시요,오픈시간문의
그럼 거기 낮에 몇 시에 오픈해요 내일?,낮 열두 시요,오픈시간문의
저 혹시 오픈 시간이 어떻게 돼 예?,열두 시부터 저녁 열두 시까지 해요,오픈시간문의
네 저희 토요일에 놀러 갈 때 하려고 하는데 아침에 몇 시에 문 열어요?,내일 열두시에 엽니다,오픈시간문의
아침 몇 시에 문 열어요?,일요일이 쉬는 날이에요.,오픈시간문의
불고기는 그러면 소고기를 쓰나요? 한우 국산이에요?,호주산입니다,원산지문의
저기 그러면 닭고기는 국내산 쓰나요?,네네 국내산이에요,원산지문의
불고기는 그러면 국내산은 아니죠?,네 그런 건 아니고 갈아가지고 동글동글하게 만들어놨어요,원산지문의
아 네 그러면 탕수육 돼지고기가 국산이죠?,저는 잘 모르겠습니다,원산지문의
국내산 쓰나요 아니면 수입품 쓰나요?,국내산 써요,원산지문의
전부 국산이에요?,돼지는 국산이고 차돌박이는 미국산이에요,원산지문의
그럼 국내산 쓰나요?,예 돼지고기는 다 국내산입니다,원산지문의
네 그리고 콜라 하나만 추가해주세요,네 알겠습니다,음료주문
콜라도같이 가져다주세요,네 알겠습니다,음료주문
아 1리터 콜라 한병도같이 가져다주세요,네 모두 3만 원 되겠습니다,음료주문
콜라 하나 추가해주세요,22500원입니다,음료주문
콜라 1개 추가할게요,네 감사합니다,음료주문
그럼 사이다 큰 사이즈로 부탁드려요,네 금방 배달해드리겠습니다,음료주문
콜라 큰 사이즈로 되나요?,아니요 콜라는 큰 사이즈가 없습니다,음료주문
아 콜라도 작은 거 하나 주세요,네 알겠습니다,음료주문
네 콜라는 따로 주문해야 하나요?,아니요 서비스로 같이 나갑니다,음료주문
어떤 종류 있나요?,"콜라, 사이다, 환타, 레모네이드 있습니다.",음료주문
그러면 500짜리 하나 주세요,네 500짜리로 요,음료주문
그러면 콜라 작은 거 두 개 주세요,네,음료주문
페트병인가요?,네 페트병이요,음료주문
혹시 음료수는 어떻게 돼요?,음료수는 따로 추가하셔야 됩니다,음료주문
음료수는 따로 주문해야 되지요?,두 판 하시면 금액이 3천 원이 할인되고 콜라가 하나 나가거든요,음료주문
작은 게 하나 따라오고 큰 거는 추가 비용을 내야 되는 거죠?,네,음료추가가격문의
페트병은 얼마인가요?,1800원이요,음료추가가격문의
그럼 콜라 추가로는 얼마예요?,콜라가 큰 게 2000원이거든요 사이다도 2000원이고요,음료추가가격문의
만약에 콜라도 추가로 주문하면 배달해주시는가요?,원래 기본으로 작은 게 나가고 천원 추가하시면 사이즈 업그레이드해드려요,음료추가문의
너무 오래 걸리는데 빨리 부탁드릴게요,네 알겠습니다,음식이늦게배달올때
전단지에 있는 만 원 이벤트 아직도 진행 중인가요?,네 진행하고 있습니다,이벤트기간문의
사이드 메뉴 할인행사하나요,지금 진행 중인 행사는 없습니다,이벤트기간문의
혹시 후기 이벤트 아직도 진행하시나요?,갈릭 소이 치킨에 한해서 진행 중입니다,이벤트기간문의
이벤트 할 거면 충분한 양을 가지고 판매하셔야 되는 거 아닌가요?,평소보다 재료를 2배 정도 준비했는데 워낙 많은 분들이 주문을 하셔서 금방 소진되었습니다,이벤트메뉴컴플레인
먹고 나서 후기 작성할 테니 감자튀김도 부탁드리겠습니다,맛있게 해서 금방 가져다드릴게요,이벤트서비스메뉴요청
리뷰 쓰면 서비스 있나요?,네 있습니다.,이벤트서비스문의
후기 쓴다고 하면 감자튀김 서비스로 주시는 거 맞죠?,네,이벤트서비스문의
그럼 가에 치즈 크러스트 들어가는 것도 선택이 되예?,그럼요,재료선택문의
네 쿠폰 사용하려고 하는데요,치킨만 쿠폰 가능하고 소스는 별도 지불하셔야 해요,적립쿠폰사용
쿠폰 사용이 가능한가요?,이벤트 중이라 쿠폰 사용은 불가능하세요,적립쿠폰사용
쿠폰 40장 모았는데 사용 가능한가요?,네 가능합니다,적립쿠폰사용방법문의
쿠폰은 몇 장 모으면 쓸 수 있어요?,30장모이면 음식 하나 공짜로 드려요,적립쿠폰사용방법문의
배달의 민족 보니까 쿠폰 있던데 그거는 어떻게 써요?,그건 어플 상에서 선결제 할 때 쓰실 수 있는 쿠폰이에요,적립쿠폰사용방법문의
쿠폰은 어떻게 쓰는데요?,나중에 콜라 주문하실 때 콜라 쿠폰 쓸 거라고 말씀을 해주고 배달해주시는 기사님한테 그 쿠폰을 전해주시면 됩니다,적립쿠폰사용방법문의
그러면 그거 10개 모으면은 또,네 5개 모으면 사이드 나가고 8개 모으면 오리지널 미디엄 피자 12개는 오리지널 라지 피자 이렇게 나가거든요,적립쿠폰사용방법문의
쿠폰을 준다고도 되어 있던데 조건이 어떻게 되는 거예요?,배달 갈 때마다 금액에 맞게 드리는데 모아두셨다가 나중에 쓰시면 돼요. 다음에 주문하실 때 미리 말씀해주셔야 돼요,적립쿠폰지급조건문의
혹시 젓가락은 대나무 젓가락 주시나요?,아니요,젓가락종류문의
젓가락은 혹시 대나무 젓가락 사용해 주시나요?,아니요 그런 건 안 씁니다,젓가락종류문의
제휴카드 추가 할인은 안되죠?,중복 할인은 안됩니다,제휴카드추가할인
제휴카드 추가 할인은 안돼요?,중복 할인은 안돼요,제휴카드추가할인
종이컵도 따로 오는가요?,아뇨 종이컵은 따로 없는데 없으면 종이컵 한 줄 같이 나가면 돼요,종이컵문의
아 순살로 부탁드릴게요,네 주문 감사합니다,주문정정
콜라 말고 사이다로 주세요,그럼 사이다로 바꿔서 드리겠습니다,주문정정
여기 이태원동 260번지인데 2인 탕수육 세트로 갖다 주세요,네 2인 탕수육 세트 이만 원입니다,주소지로배달요청
네 그럼 주문할게요 주소는 A 아파트 104동 102호입니다,네 A 아파트 104동 102호요,주소지로배달요청
그럼 서울대학교 병원 1층 안내센터로 배달 가능한가요?,네 가능합니다,주소지로배달요청
그러면 서울특별시 강서구 105-12 번지로 배달해주세요,지금은 점심시간 때라 40분 정도는 기다리셔야 돼요,주소지로배달요청
네 그리고 저희 집 현관 비번 3434이에요,네 알겠습니다,주소지로배달요청
여기 동그라미 아파트 103동 103호인데요,네 103동 103호요,주소지로배달요청
안녕하세요 여기 동산아파트 203동 201호요.,네 주문하세요.,주소지로배달요청
주소는 팔팔로 171입니다,네 감사합니다,주소지로배달요청
OO 아파트 OO동 OO 호에 짬뽕 하나 배달되나요?,네 짬뽕 하나 배달 가능합니다,주소지로배달요청
주소는 서울시 성동구 성수동 1가 99-99 1001입니다,네 감사합니다,주소지로배달요청
네 여기 대성스카이 백이 동 천오백삼 호인데 우리 고구마 피자 배달되죠?,네,주소지로배달요청
예 대성스카이렉스 백이 동 천오백삼 호인데 프라이드 한 마리만 배달해주세요,배달 거기까지 안 합니다,주소지로배달요청
주차장 있나요?,네 건물 뒤에 있어요,주차장문의
주차는 바로 옆 도로변에 되는가 예?,네 바로 싣고 나가실 수 있게 포장해 놓을게요,주차장문의
주차는 어디 하면 돼요?,아파트 상가 주차장에 하시면 됩니다,주차장문의
그럼 밥반찬으로 먹으면 어떨까요,그럼 괜찮습니다,취향에따른메뉴추천요구
아이들도 먹을 수 있나요?,약간 매울 수는 있는데요,취향에따른메뉴추천요구
아이들과 먹기에 어떤 피자가 좋을까요?,콤비네이션 피자와 불고기 피자 추천드려요,취향에따른메뉴추천요구
어깨 피자 카는 게 있는데 혹시 야채 많이 들어간 거는 어떤 거예요?,어깨 피자는 야채가 많이 안 들어가요 이거는 9가지 토핑 맛을 볼 수 있게 되어있는 겁니다,취향에따른메뉴추천요구
초등학생 고학년은 피자 어떤 종류가 잘 나가요?,"초등학생들은 거의 고구마, 포테이토, 불고기, 콤비네이션 이렇게 많이 나가요",취향에따른메뉴추천요구
선생님은 따로 한 판 하까 싶은데 선생님 거는 어떤 거 나가요?,치즈브러썸이라고 치즈가 많이 들어가고 안창살 들어간 거 추천드려요,취향에따른메뉴추천요구
고등학생 간식으로 피자 어떤 거 잘 나가요?,학생들은 포테이토나 슈림프 골드 그런 거 잘 나가요,취향에따른메뉴추천요구
양장피하고 또 비슷한 거 뭐 있어요?,고추잡채 팔보채 유산슬도 있어요,취향에따른메뉴추천요구
애들 초등학생들 뭐 좋아하는데요?,"갈릭 스테이크도 괜찮고요, 치킨 바비큐 콤비네이션도 있습니다",취향에따른메뉴추천요구
새우나 육류 좋아해요,새우 들어가는 건 블랙타이거 슈림프 있고 고기 많이 들어가는 글램핑 바비큐 피자 있어요,취향에따른메뉴추천요구
네 초등학교 3학년인데 피자 추천하는 메뉴가 있어요?,보통 기본적인 피자에서는 불고기 슈퍼수프림 많이 나가고 있어요,취향에따른메뉴추천요구
선생님은 어떤 거 많이 나가죠? 어른들 좋아하는 거,선생님은 체더치즈나 리치골드 해서 하나는 포테이토 하나는 고구마 그러면 좋아하시거든요,취향에따른메뉴추천요구
종류는 어떤 게 많이 나가나요? 여자 선생님이거든요,선생님은 보통 고구마나 새우 들어가는 블랙타이거 슈림프도 있고 고기와 랍스터 살 들어가는 블랙 앵거스도 있고요,취향에따른메뉴추천요구
그러면 4인 가족이면 탕수육 하나에 딴 거 어떤 거 시켜요?,짜장면 짬뽕 해물짬뽕 사람마다 좋아하시는 게 다 달라요,취향에따른메뉴추천요구
카카오페이나 삼성페이도 되나요?,카카오페이는 안되고 삼성페이는 됩니다,카카오페이삼성페이결제
카카오페이는 결제가 되는가요?,그거는 본인들이 인터넷 들어가셔서 하셔야 합니다,카카오페이삼성페이결제
지금 주문하려는데요 영업시간이 몇 시인가요?,저희 매장은 새벽 3시까지 영업합니다,클로징시간문의
거기 몇 시까지 영업하나요?,밤 10시까지 영업합니다,클로징시간문의
몇 시까지 주문 가능한가요?,새벽 1시까지 가능합니다.,클로징시간문의
주문 몇 시까지 전화받으세요?,10시까지 가능하세요,클로징시간문의
여긴 몇 시까지 해요?,네 11시 30분까지 주문받습니다,클로징시간문의
몇 시에 문 닫나요?,9시 반이나 10시쯤 되면 닫을 것 같습니다,클로징시간문의
몇 시까지 하세요?,9시까지요,클로징시간문의
몇 시에 문 닫아요?,8시 반까지요,클로징시간문의
몇 시에 마쳐요?,네 8시까지 합니다,클로징시간문의
몇 시까지 하세요?,마지막 주문이 9시에요,클로징시간문의
네 수고하십니다 저 죄송하지만 배달은 몇 시까지 하나요?,열두시부터 열한시까지요,클로징시간문의
그러면 저녁에는 몇 시까지 하나요?,저녁에는 내일 좀 일찍 마쳐야 돼서 한 열시까지 밖에 안 합니다,클로징시간문의
아 그러면 몇 시까지 배달하시는데요?,예 보통 한 20분 정도 되면 끝냅니다,클로징시간문의
몇 시에 문 닫아요?,보통은 한 여덟 시 정도 닫아요,클로징시간문의
그러면 배달 몇 시까지 해요?,아 지금 시키셔야 돼요,클로징시간문의
9시까지 전화하면 돼요?,대부분 8시 반까지 주문받습니다,클로징주문시간문의
주문 전화는 몇 시까지 해야 되나요?,8시 반까지 주문받아요,클로징주문시간문의
주문 전화 몇 시까지 해야 되는데요?,8시까지 배달을 해드릴 수 있습니다,클로징주문시간문의
그럼 마지막 주문은 몇 시까지 하면 돼요?,마지막 주문이 9시여서 그전에 결제하시면 됩니다,클로징주문시간문의
슈림프 핫치킨 골드 피자 이건 치킨이에요?,"네 이거는 새우와 핫치킨, 베이컨, 브로콜리가 올라가는 거예요",토핑문의
불고기 피자에는 고기가 많이 들어가고?,그거는 불고기가 들어가는 건데 콤비네이션과는 고기가 좀 다르게 생겼고 야채는 똑같이 들어가요,토핑문의
콤비네이션에는 뭐 뭐 들어가요?,콤비네이션에는 올리브 햄 페퍼로니 야채 많이 들어가고 팝핑이라고 불고기 조금 들어가요,토핑문의
토핑이 어떤 거 올라가요?,"모차렐라치즈, 리코타, 로마노 크림치즈, 콰트로 치즈 퐁듀, 와규 크럼블, 베이컨, 돼지고기, 고구마무스, 감자, 마요네즈, 토마토소스, 선 드라이 토마토, 코코넛 허니버터 파우더 그리고 이베리코 포크 이렇게 들어갑니다",토핑문의
목동 피자는 어떤 게 들어가요?,"목동 피자는 야채, 페퍼로니하고 조금 특별한 햄, 치즈가 올라가요",토핑문의
그거는 위에 토핑이 뭐가 들어가는 거예요?,새우랑 들어갑니다,토핑문의
치즈 크러스트 위에 토핑이 뭐가 있어요?,치즈 크러스트는 테두리 부분에 치즈가 들어가는 것입니다,토핑문의
아 그러면 위에 토핑이 뭐가 올라가요?,불고기 소고기하고 볶음김치 하셨습니다,토핑문의
아 골라요 어떤 거 어떤 거 있어요?,콤비네이션 불고기 페퍼로니 하와이안 치즈 야채 고구마무스 포테이토 화이트 콤비 핫불고기 고구마 이렇게 있습니다,토핑문의
토핑은 위에 어떤 거 얹어지나요?,토핑은 고르시면 됩니다,토핑문의
토핑은 야채나 이런 것들은 어떤 게 올려져 있나요?,양파나 여러 가지 기본 야채 브로콜리 그런 게 다 들어갑니다,토핑문의
토핑은 어떤 걸로 되어있나요?,예 그거는 선택하시는 거예요 다 14000원 똑같습니다,토핑문의
모든 피자에 토핑 추가가 안되는 거예요?,네 그렇게는 안되는 걸로 알고 있어요,토핑문의
그럼 불고기 피자는 기본으로 불고기 들어갈 거고 또 어떤 토핑이 올라가죠?,피망이랑 옥수수랑 스모크햄 같은 게 올라가요,토핑문의
불고기는 안 올라가요?,네,토핑문의
벌집 피자에 고구마 말고는 토핑은 어떤 게 올라가요?,일반적으로 올라가는 옥수수나 피망 올리브 스모크햄 이런 식으로 올라가요,토핑문의
오이 빼주실 수 있으세요?,네 가능합니다,특정재료첨삭요구
네 매운 짬뽕은 아주 맵게 해서 주세요,네 더 맵게요,특정재료첨삭요구
네 그리고 치즈랑 포테이토 추가 토핑 해주세요,포테이토 피자 파티 사이즈 우리 밀 도우에 치즈 포테이토 추가 토핑 맞죠?,특정재료첨삭요구
치즈 없는 피자 만들어주실 수 있나요?,네 가능합니다,특정재료첨삭요구
청양고추 빼주시면 안 돼요?,청양고추는 안 들어가지만 베트남 고추가 들어가서 많이 맵습니다,특정재료첨삭요구
토핑 종류가 여러 가진데 한 판에 여러 개 주문해도 되나요?,"한 판에 2개까지 가능하고, 원래 가격에서 2천 원 추가됩니다",특정재료첨삭요구
그러면 불고기 피자에는 토핑을 더 추가할 수 있나요?,아니요,특정재료첨삭요구
벌집 피자에 불고기를 추가해서는 주문 못하나요?,네 그렇게는 안돼요,특정재료첨삭요구
그러면 포장은 얼마인가요?,"프라이드 포장이 12000원이에요, 그리고 무는 500원씩이고요",포장가격문의
직접 찾으러 가면 할인되나요?,"네, 2000원 할인됩니다.",포장시할인문의
배달료를 따로 받던데 매장에서 받으면 다른가요?,네 저희는 매장 할인이 따로 있습니다,포장시할인문의
그러면 저희들 가지러 가면,할인 없습니다,포장시할인문의
그러면 배달하고 가지러 가면 가격 좀 더 할인되죠?,할인되는 건 없습니다 저희는 콜라 대짜 드립니다,포장시할인문의
가서 가지러 가면요?,30프로 됩니다,포장시할인문의
그러면 찾으러 가는 게 할인 많이 되네요?,금액이 크면 할인이 많아요,할인방법문의
전화로 하는 거나 앱으로 하는 거나 똑같은 거예요?,만약 통신사 카드가 없을 경우에 할인이 안되고요 찾으러 오셔야 할인이 됩니다,할인방법문의
할인 혜택 같은 건 있어요?,네 어플로 하시면 할인 혜택이 좀 있어요,할인정보문의
쿠폰이나 할인 혜택 같은 건 있나요?,평상시에 쿠폰이 같이 가고 배달의 민족에서 주문하시면 좀 더 저렴할 거예요,할인정보문의
할인 같은 건 없고요?,네 따로 없어요,할인정보문의
두 판 뭐 그런 거도 있어요?,지금 원형 피자 행사를 하고 있어요 두 판 해서 19900원입니다,할인정보문의
네 만약에 KT 하면 할인 몇 프로 되는데 예?,KT는 20프로입니다,할인정보문의
할인카드나 적립카드는 있습니까?,통신사 제휴카드는 할인이 되고 적립은 따로 없어요,할인정보문의
혹시 배달 앱으로 하면 더 저렴한가요?,배달 앱으로 할인을 받으면 저희 측에서는 할인이 다 안됩니다,할인정보문의
SK VIP인데 혹시 할인되죠?,30프로 됩니다,할인정보문의
혹시 할인 적용되는 건 있어요?,그런 건 따로 없는 것으로 알고 있어요,할인정보문의
그리고 40프로 하는 게 끝났나요?,네 끝났습니다,할인정보문의
근데 사십 프로 할인하는 거 맞죠?,사십 프로 그거는 포장만 할인됩니다,할인정보문의
요즘 거기 피자 모두 사십 프로 하고 있던데 맞아요?,포장하러 오셔야 해요,할인정보문의
피자 사십 프로 행사하고 있던데 맞아요?,포장하시면 사십 프로 할인되고 도미노 홈페이지 들어가셔서 주문을 해주셔야 합니다,할인정보문의
그럼 할인은 혹시 됩니까?,할인하면 보통 통신사 카드 15프로씩 다 되고요 SK vip 있으면 30프로 되고요,할인정보문의
만약에 통신사 카드 없이는 할인 안되는가요?,신용카드로는 삼성카드나 포인트가 있을 경우에는 30프로 되고요 현대카드는 포인트 있으시면 50프로 되고요,할인정보문의
네 할인쿠폰이 있는데 사용할 수 있습니까?,네 쿠폰 20프로 할인행사 진행 중입니다,할인쿠폰사용
위메프에서 오늘 구매한 맞쵸킹 천 원권 쓸 수 있나요?,고객님 죄송합니다만 맞쵸킹은 오늘 재료 소진으로 판매가 끝났습니다,할인쿠폰사용
할인쿠폰이 있는데 사용 가능한가요?,"네, 사용 가능합니다.",할인쿠폰사용
포인트 적립하고 이런 거는 없고요?,네,할인쿠폰적립카드문의
근데 여기요 적립은 따로 안돼요? 제가 몇 번 시켜 먹어봤는데,적립은 없고 쿠폰 나갑니다,할인쿠폰적립카드문의
할인 쿠폰이나 적립 카드 이런 건 있어요?,저희가 피자박스에 쿠폰이 달려있거든요,할인쿠폰적립카드문의
이번 주 일주일간 매일 한다던데 아닌가요?,그건 지난주였고요 이번 주는 없습니다,할인행사기간문의
매일 같이 행사해요?,오늘 화요일만 하고 있습니다,할인행사기간문의
일주일간 한다던데요,그건 저번 주에 끝났고요 매주 화요일마다 인터넷으로 하시면 사십 프로 할인합니다,할인행사기간문의
언제까지 할인행사해요?,매주 화요일에 하고 있어요,할인행사기간문의
현금 영수증 해주세요,네 번호 찍어주세요,현금영수증발행요청
현금영수증 되나요?,네 배달원분께 알려주시면 가능하십니다,현금영수증발행요청
현금 영수증도 해주세요,네 전화번호 알려주세요,현금영수증발행요청
현금하면 할인되고 그런 것도 있나요?,그런 건 따로 없습니다,현금할인문의
깐풍 익을 가지러 가면 가격은 다른가요?,가게 와서 갖고 가시면 22000원요,홀가격과배달가격차이문의
그럼 레귤러는?,구천구백 원입니다,홀가격과배달가격차이문의
그럼 여기서는 얼만데요?,만 천구백 원입니다,홀가격과배달가격차이문의
홀에서도 먹을 수 있나요?,네,홀식사문의
그러면 혹시나 저희가 직접 가서 먹을 수 있는 자리도 있나요?,네 저희는 홀도 있어요,홀식사문의
오늘 영업하나요?,네 영업하고 있습니다.,휴일문의
일요일도 하세요?,네 열두시부터 열두시까지 합니다,휴일문의
토요일은 하세요,토요일 한시까지 하거든요,휴일문의
